Uur,Levering [kWh],Teruglevering [kWh]
01-10-2024 00:00 tot 00:15,1.12554,0.0
01-10-2024 00:15 tot 00:30,1.46016,0.0
01-10-2024 00:30 tot 00:45,1.76436,0.0
01-10-2024 00:45 tot 01:00,1.12554,0.0
01-10-2024 01:00 tot 01:15,1.0647,0.0
01-10-2024 01:15 tot 01:30,25.73532,0.0
01-10-2024 01:30 tot 01:45,21.23316,0.0
01-10-2024 01:45 tot 02:00,6.05358,0.0
01-10-2024 02:00 tot 02:15,1.0647,0.0
01-10-2024 02:15 tot 02:30,1.09512,0.0
01-10-2024 02:30 tot 02:45,1.09512,0.0
01-10-2024 02:45 tot 03:00,0.97344,0.0
01-10-2024 03:00 tot 03:15,1.00386,0.0
01-10-2024 03:15 tot 03:30,1.00386,0.0
01-10-2024 03:30 tot 03:45,1.0647,0.0
01-10-2024 03:45 tot 04:00,1.15596,0.0
01-10-2024 04:00 tot 04:15,1.03428,0.0
01-10-2024 04:15 tot 04:30,1.0647,0.0
01-10-2024 04:30 tot 04:45,1.27764,0.0
01-10-2024 04:45 tot 05:00,1.2168,0.0
01-10-2024 05:00 tot 05:15,1.15596,0.0
01-10-2024 05:15 tot 05:30,1.0647,0.0
01-10-2024 05:30 tot 05:45,1.58184,0.0
01-10-2024 05:45 tot 06:00,1.64268,0.0
01-10-2024 06:00 tot 06:15,1.15596,0.0
01-10-2024 06:15 tot 06:30,1.27764,0.0
01-10-2024 06:30 tot 06:45,3.8025,0.0
01-10-2024 06:45 tot 07:00,2.8899,0.0
01-10-2024 07:00 tot 07:15,1.42974,0.0
01-10-2024 07:15 tot 07:30,1.2168,0.0
01-10-2024 07:30 tot 07:45,1.58184,0.0
01-10-2024 07:45 tot 08:00,1.39932,0.0
01-10-2024 08:00 tot 08:15,1.12554,0.0
01-10-2024 08:15 tot 08:30,1.27764,0.0
01-10-2024 08:30 tot 08:45,1.30806,0.0
01-10-2024 08:45 tot 09:00,1.64268,0.0
01-10-2024 09:00 tot 09:15,8.73054,0.0
01-10-2024 09:15 tot 09:30,29.41614,0.0
01-10-2024 09:30 tot 09:45,18.95166,0.0
01-10-2024 09:45 tot 10:00,11.2554,0.0
01-10-2024 10:00 tot 10:15,9.55188,0.0
01-10-2024 10:15 tot 10:30,5.3235,0.0
01-10-2024 10:30 tot 10:45,9.15642,0.0
01-10-2024 10:45 tot 11:00,10.98162,0.0
01-10-2024 11:00 tot 11:15,3.042,0.0
01-10-2024 11:15 tot 11:30,30.05496,0.0
01-10-2024 11:30 tot 11:45,33.49242,0.0
01-10-2024 11:45 tot 12:00,34.92216,0.0
01-10-2024 12:00 tot 12:15,25.2486,0.0
01-10-2024 12:15 tot 12:30,37.05156,0.0
01-10-2024 12:30 tot 12:45,36.10854,0.0
01-10-2024 12:45 tot 13:00,30.38958,0.0
01-10-2024 13:00 tot 13:15,39.75894,0.0
01-10-2024 13:15 tot 13:30,18.73872,0.0
01-10-2024 13:30 tot 13:45,6.81408,0.0
01-10-2024 13:45 tot 14:00,5.08014,0.0
01-10-2024 14:00 tot 14:15,11.49876,0.0
01-10-2024 14:15 tot 14:30,5.81022,0.0
01-10-2024 14:30 tot 14:45,7.05744,0.0
01-10-2024 14:45 tot 15:00,28.899,0.0
01-10-2024 15:00 tot 15:15,18.19116,0.0
01-10-2024 15:15 tot 15:30,6.3882,0.0
01-10-2024 15:30 tot 15:45,0.63882,0.029585798816568
01-10-2024 15:45 tot 16:00,0.27378,0.029585798816568
01-10-2024 16:00 tot 16:15,0.24336,0.029585798816568
01-10-2024 16:15 tot 16:30,11.07288,0.0
01-10-2024 16:30 tot 16:45,14.63202,0.0
01-10-2024 16:45 tot 17:00,8.0613,0.029585798816568
01-10-2024 17:00 tot 17:15,0.27378,0.14792899408284
01-10-2024 17:15 tot 17:30,0.36504,0.029585798816568
01-10-2024 17:30 tot 17:45,0.42588,0.0
01-10-2024 17:45 tot 18:00,0.88218,0.0
01-10-2024 18:00 tot 18:15,0.9126,0.0
01-10-2024 18:15 tot 18:30,0.85176,0.0
01-10-2024 18:30 tot 18:45,0.88218,0.0
01-10-2024 18:45 tot 19:00,1.33848,0.0
01-10-2024 19:00 tot 19:15,1.3689,0.0
01-10-2024 19:15 tot 19:30,1.15596,0.0
01-10-2024 19:30 tot 19:45,1.61226,0.0
01-10-2024 19:45 tot 20:00,8.0613,0.0
01-10-2024 20:00 tot 20:15,17.30898,0.0
01-10-2024 20:15 tot 20:30,1.42974,0.0
01-10-2024 20:30 tot 20:45,1.46016,0.0
01-10-2024 20:45 tot 21:00,28.5948,0.0
01-10-2024 21:00 tot 21:15,25.4007,0.0
01-10-2024 21:15 tot 21:30,31.54554,0.0
01-10-2024 21:30 tot 21:45,35.4393,0.0
01-10-2024 21:45 tot 22:00,10.55574,0.0
01-10-2024 22:00 tot 22:15,3.92418,0.0
01-10-2024 22:15 tot 22:30,1.85562,0.0
01-10-2024 22:30 tot 22:45,1.24722,0.0
01-10-2024 22:45 tot 23:00,1.15596,0.0
01-10-2024 23:00 tot 23:15,1.24722,0.0
01-10-2024 23:15 tot 23:30,1.3689,0.0
01-10-2024 23:30 tot 23:45,1.0647,0.0
01-10-2024 23:45 tot 00:00,1.27764,0.0
02-10-2024 00:00 tot 00:15,1.09512,0.0
02-10-2024 00:15 tot 00:30,1.39932,0.0
02-10-2024 00:30 tot 00:45,1.2168,0.0
02-10-2024 00:45 tot 01:00,1.00386,0.0
02-10-2024 01:00 tot 01:15,1.12554,0.0
02-10-2024 01:15 tot 01:30,1.12554,0.0
02-10-2024 01:30 tot 01:45,1.00386,0.0
02-10-2024 01:45 tot 02:00,7.9092,0.0
02-10-2024 02:00 tot 02:15,13.11102,0.0
02-10-2024 02:15 tot 02:30,0.94302,0.0
02-10-2024 02:30 tot 02:45,12.19842,0.0
02-10-2024 02:45 tot 03:00,9.39978,0.0
02-10-2024 03:00 tot 03:15,1.03428,0.0
02-10-2024 03:15 tot 03:30,1.0647,0.0
02-10-2024 03:30 tot 03:45,0.9126,0.0
02-10-2024 03:45 tot 04:00,1.18638,0.0
02-10-2024 04:00 tot 04:15,1.12554,0.0
02-10-2024 04:15 tot 04:30,0.94302,0.0
02-10-2024 04:30 tot 04:45,0.94302,0.0
02-10-2024 04:45 tot 05:00,1.33848,0.0
02-10-2024 05:00 tot 05:15,19.95552,0.0
02-10-2024 05:15 tot 05:30,4.80636,0.0
02-10-2024 05:30 tot 05:45,1.3689,0.0
02-10-2024 05:45 tot 06:00,1.55142,0.0
02-10-2024 06:00 tot 06:15,1.15596,0.0
02-10-2024 06:15 tot 06:30,1.15596,0.0
02-10-2024 06:30 tot 06:45,1.03428,0.0
02-10-2024 06:45 tot 07:00,1.2168,0.0
02-10-2024 07:00 tot 07:15,1.24722,0.0
02-10-2024 07:15 tot 07:30,1.6731,0.0
02-10-2024 07:30 tot 07:45,1.24722,0.0
02-10-2024 07:45 tot 08:00,1.27764,0.0
02-10-2024 08:00 tot 08:15,1.24722,0.0
02-10-2024 08:15 tot 08:30,1.00386,0.0
02-10-2024 08:30 tot 08:45,0.82134,0.0
02-10-2024 08:45 tot 09:00,0.94302,0.0
02-10-2024 09:00 tot 09:15,7.36164,0.0
02-10-2024 09:15 tot 09:30,9.18684,0.0
02-10-2024 09:30 tot 09:45,8.42634,0.0
02-10-2024 09:45 tot 10:00,19.13418,0.0
02-10-2024 10:00 tot 10:15,22.3587,0.0
02-10-2024 10:15 tot 10:30,20.25972,0.0
02-10-2024 10:30 tot 10:45,10.16028,0.0
02-10-2024 10:45 tot 11:00,3.37662,0.0
02-10-2024 11:00 tot 11:15,1.09512,0.0
02-10-2024 11:15 tot 11:30,0.7605,0.0
02-10-2024 11:30 tot 11:45,0.21294,0.029585798816568
02-10-2024 11:45 tot 12:00,4.31964,0.0
02-10-2024 12:00 tot 12:15,18.49536,0.0
02-10-2024 12:15 tot 12:30,16.45722,0.0
02-10-2024 12:30 tot 12:45,8.00046,0.0
02-10-2024 12:45 tot 13:00,0.57798,0.207100591715976
02-10-2024 13:00 tot 13:15,0.3042,0.029585798816568
02-10-2024 13:15 tot 13:30,0.82134,0.029585798816568
02-10-2024 13:30 tot 13:45,4.74552,0.0
02-10-2024 13:45 tot 14:00,7.54416,0.0
02-10-2024 14:00 tot 14:15,0.21294,0.177514792899408
02-10-2024 14:15 tot 14:30,14.26698,0.0887573964497041
02-10-2024 14:30 tot 14:45,5.9319,0.0591715976331361
02-10-2024 14:45 tot 15:00,0.33462,0.029585798816568
02-10-2024 15:00 tot 15:15,8.39592,0.0
02-10-2024 15:15 tot 15:30,7.63542,0.0
02-10-2024 15:30 tot 15:45,0.97344,0.0
02-10-2024 15:45 tot 16:00,43.9569,0.0
02-10-2024 16:00 tot 16:15,62.99982,0.0
02-10-2024 16:15 tot 16:30,57.55464,0.0
02-10-2024 16:30 tot 16:45,16.67016,0.029585798816568
02-10-2024 16:45 tot 17:00,0.57798,0.0
02-10-2024 17:00 tot 17:15,0.63882,0.0
02-10-2024 17:15 tot 17:30,0.73008,0.0
02-10-2024 17:30 tot 17:45,0.94302,0.0
02-10-2024 17:45 tot 18:00,1.15596,0.0
02-10-2024 18:00 tot 18:15,0.94302,0.0
02-10-2024 18:15 tot 18:30,1.70352,0.0
02-10-2024 18:30 tot 18:45,1.8252,0.0
02-10-2024 18:45 tot 19:00,14.35824,0.0
02-10-2024 19:00 tot 19:15,5.68854,0.0
02-10-2024 19:15 tot 19:30,1.79478,0.0
02-10-2024 19:30 tot 19:45,2.31192,0.0
02-10-2024 19:45 tot 20:00,1.64268,0.0
02-10-2024 20:00 tot 20:15,2.06856,0.0
02-10-2024 20:15 tot 20:30,1.8252,0.0
02-10-2024 20:30 tot 20:45,1.33848,0.0
02-10-2024 20:45 tot 21:00,4.53258,0.0
02-10-2024 21:00 tot 21:15,9.30852,0.0
02-10-2024 21:15 tot 21:30,3.10284,0.0
02-10-2024 21:30 tot 21:45,3.16368,0.0
02-10-2024 21:45 tot 22:00,33.462,0.0
02-10-2024 22:00 tot 22:15,27.71262,0.0
